"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046470","phosphatidylcholine metabolic process","15/1652","72/16481",0.208333333333333,2.07841505246166,3.0608272869179,0.00460203490601948,0.0362166420469006,0.0362166420469006,"9468/57153/5322/21/5168/5319/84879/341/1071/335/10908/10162/3949/50487/5320",15
"GO:0032943","mononuclear cell proliferation","35/1652","222/16481",0.157657657657658,1.57285463429531,2.86814890728107,0.0046406498245616,0.0362375306456872,0.0362375306456872,"81704/177/6556/7805/246778/3113/2494/3596/695/7305/6693/5322/56253/1636/2214/2013/1178/3071/3569/64115/3133/11326/7048/383/3549/8741/7037/64332/7940/3553/5320/3552/6441/4332/2255",35
"GO:0048469","cell maturation","22/1652","122/16481",0.180327868852459,1.79902155360616,2.95656700753497,0.00464686793925743,0.0362375306456872,0.0362375306456872,"2038/25893/4653/122042/440712/8578/577/1910/6376/23294/26468/1811/5468/1080/83853/1906/65009/120892/163175/257062/712/558",22
"GO:0098754","detoxification","26/1652","152/16481",0.171052631578947,1.70648814833694,2.92061675803157,0.00465299737903092,0.0362375306456872,0.0362375306456872,"114757/6556/54996/5243/847/216/2878/4499/9429/217/4501/241/64116/6565/3039/3043/4056/9619/27244/5581/3040/4489/366/6649/10516/948",26
"GO:0003085","negative regulation of systemic arterial blood pressure","6/1652","17/16481",0.352941176470588,3.52107961828799,3.47113125358943,0.00469866246153934,0.0362375306456872,0.0362375306456872,"9365/1392/186/153/659/154",6
"GO:0009713","catechol-containing compound biosynthetic process","6/1652","17/16481",0.352941176470588,3.52107961828799,3.47113125358943,0.00469866246153934,0.0362375306456872,0.0362375306456872,"5409/9365/1610/217/6622/7042",6
"GO:0010522","regulation of calcium ion transport into cytosol","6/1652","17/16481",0.352941176470588,3.52107961828799,3.47113125358943,0.00469866246153934,0.0362375306456872,0.0362375306456872,"857/22953/5319/117/7222/4842",6
"GO:0010885","regulation of cholesterol storage","6/1652","17/16481",0.352941176470588,3.52107961828799,3.47113125358943,0.00469866246153934,0.0362375306456872,0.0362375306456872,"4481/5468/1066/9619/4023/948",6
"GO:0032332","positive regulation of chondrocyte differentiation","6/1652","17/16481",0.352941176470588,3.52107961828799,3.47113125358943,0.00469866246153934,0.0362375306456872,0.0362375306456872,"6660/94/5593/4092/91461/7704",6
"GO:0033623","regulation of integrin activation","6/1652","17/16481",0.352941176470588,3.52107961828799,3.47113125358943,0.00469866246153934,0.0362375306456872,0.0362375306456872,"83700/10979/54922/64805/5734/6403",6
"GO:0036005","response to macrophage colony-stimulating factor","6/1652","17/16481",0.352941176470588,3.52107961828799,3.47113125358943,0.00469866246153934,0.0362375306456872,0.0362375306456872,"5153/5138/146433/249/7099/81501",6
"GO:0042423","catecholamine biosynthetic process","6/1652","17/16481",0.352941176470588,3.52107961828799,3.47113125358943,0.00469866246153934,0.0362375306456872,0.0362375306456872,"5409/9365/1610/217/6622/7042",6
"GO:1903027","regulation of opsonization","6/1652","17/16481",0.352941176470588,3.52107961828799,3.47113125358943,0.00469866246153934,0.0362375306456872,0.0362375306456872,"5322/5199/8547/5648/2219/10584",6
"GO:1904754","positive regulation of vascular associated smooth muscle cell migration","6/1652","17/16481",0.352941176470588,3.52107961828799,3.47113125358943,0.00469866246153934,0.0362375306456872,0.0362375306456872,"8013/5155/4921/9732/9510/407006",6
"GO:0048708","astrocyte differentiation","11/1652","46/16481",0.239130434782609,2.3856590167386,3.14107369894645,0.00486885708810322,0.0374924432913386,0.0374924432913386,"177/9839/4099/650/9444/4916/3569/3949/712/728/2358",11
"GO:0007215","glutamate receptor signaling pathway","13/1652","59/16481",0.220338983050847,2.19818812328149,3.07727058096244,0.00490959353939695,0.0377481478726947,0.0377481478726947,"2913/2894/6505/6376/2895/2900/2890/4308/2776/6347/85358/154/116444",13
"GO:0000302","response to reactive oxygen species","28/1652","168/16481",0.166666666666667,1.66273204196933,2.8817306378826,0.00494076137577893,0.0379296122155893,0.0379296122155893,"114757/9314/7350/761/3741/695/3373/847/8692/1843/10365/358/1410/4921/7128/3569/1906/7356/140885/120892/3039/3043/2353/27244/3040/6649/10516/948",28
"GO:0031664","regulation of lipopolysaccharide-mediated signaling pathway","8/1652","28/16481",0.285714285714286,2.85039778623314,3.2707643809712,0.00498322081759364,0.0381970733311879,0.0381970733311879,"6376/23328/388325/7128/114769/9450/140885/948",8
"GO:0034367","protein-containing complex remodeling","10/1652","40/16481",0.25,2.494098062954,3.15771315424553,0.00509253586250876,0.03886414702731,0.03886414702731,"5322/341/1071/9619/335/185/4023/338328/50487/5320",10
"GO:0070741","response to interleukin-6","10/1652","40/16481",0.25,2.494098062954,3.15771315424553,0.00509253586250876,0.03886414702731,0.03886414702731,"55022/2204/820/6688/3569/5740/6404/72/9021/11122",10
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","48/1652","329/16481",0.145896656534954,1.45552227382118,2.78562150318437,0.00509350580429736,0.03886414702731,0.03886414702731,"857/124857/375387/1028/9372/25937/27122/9839/23090/10979/2658/1003/7122/1601/51232/84913/4091/650/8425/55273/79674/50964/375567/94/2615/6688/5468/26524/4092/7044/2662/91851/168667/83891/28984/7048/25928/3725/7042/7049/2353/93649/2022/659/1030/3491/222223/4093",48
